2015-06-01,1.1,M,M,MMM
2015-06-01,1.1,F,M,MMMMM
2015-06-01,1.1,F,M,MMM
2015-06-01,1.2,F,F,MFMMM
2015-06-01,1.2,F,F,M
2015-06-01,1.2,M,F,MMMF
2015-06-01,1.2,M,F,MMF
2015-06-01,1.2,M,F,M
2015-06-01,1.3,F,M,FF
2015-06-01,1.3,F,M,MM
2015-06-01,1.3,F,M,FMM
2015-06-01,1.3,F,M,FM
2015-06-02,2.1,M,M,MMM
2015-06-02,2.1,M,M,MMM
2015-06-02,2.1,M,M,MMMM
2015-06-02,2.1,F,M,MMFM
2015-06-02,2.1,M,M,MMMM
2015-06-02,2.1,M,M,FMM
2015-06-02,2.1,M,M,MM
2015-06-02,2.1,M,M,FMM
2015-06-02,2.2,M,F,MF
2015-06-02,2.2,M,F,MMMM
2015-06-02,2.3,F,M,MMM
2015-06-02,2.3,F,M,MMF
2015-06-02,2.3,M,M,MMF
2015-06-03,3.1,M,M,MMMM
2015-06-03,3.1,F,M,M
2015-06-03,3.2,F,M,MMMFF
2015-06-03,3.2,M,M,MFMMM
2015-06-03,3.2,F,M,MM
2015-06-03,3.3,M,M,MMMM
2015-06-03,3.3,M,M,MM
2015-06-03,3.3,F,M,FM
2015-06-03,3.3,M,M,MFM
2015-06-03,3.3,M,M,MMMMM
2015-06-03,3.4,F,M,FMMM
2015-06-03,3.4,M,M,FFFF
2015-06-03,3.4,F,M,MMFMM
2015-06-03,3.4,M,M,MM
2015-06-04,4.1,M,M,MMMM
2015-06-04,4.1,M,M,MMM
2015-06-04,4.1,M,M,MMMM
2015-06-04,4.1,M,M,MMM
2015-06-04,4.1,M,M,MM
2015-06-04,4.2,M,M,MM
2015-06-04,4.2,M,M,MMMM
2015-06-04,4.2,M,M,MMMM
2015-06-04,4.2,M,M,M
2015-06-04,4.2,F,M,MMM
2015-06-04,4.3,M,M,FMM
2015-06-04,4.3,M,M,MMMMM
2015-06-04,4.3,F,M,MMMFF
2015-06-04,4.3,F,M,FMF
