session,speaker,questions
1.1,F,F
1.2,M,MFFM
1.3,M,FM
1.4,M,M
1.5,F,MFM
2.1,M,FMMMF
2.2,M,FMF
2.3,F,MFM
2.4,M,M
2.5,M,M
3.1,M,MFMMF
3.2,M,MFMM
3.3,F,FMM
3.4,M,FF
3.5,F,MMFM
4.1,F,MMF
4.2,M,FMM
4.3,M,FF
4.4,M,F
4.5,M,MMM
5.1,F,FMM
5.2,M,MMM
5.3,M,FM
5.4,F,MFFMM
5.5,M,F
6.1,M,MFMM
6.2,F,M
6.3,M,MMM
6.4,M,M
6.5,F,M
6.6,M,MMMM
7.1,F,FFFMF
7.2,F,FFFMFF
7.3,F,MM
7.4,F,M
7.5,F,MM
8.1,M,FMM
8.2,M,FMFF
8.3,M,M
8.4,F,MF
8.5,M,M
9.1,M,MM
9.2,F,FMF
9.3,F,FMFMF
9.4,M,FM
9.5,F,MMFFM
10.1,F,MMFMM
10.2,F,MMMMF
10.3,M,FMF
10.4,F,FM
10.5,F,MFMFM
11.1,M,FMFMM
11.2,F,FFMMM
11.4,M,FFM
11.5,M,FMM
12.1,F,MFFM
12.2,F,FMMF
12.3,M,MMMM
12.4,F,MMF
12.5,F,FMMM
12.6,F, 
13.1,M,MMM
13.2,M,MMMM
13.3,F,MFM
13.4,M,MFF
13.5,M,MMM
14.1,M,MMMM
14.2,F,MMFF
14.3,F,MF
14.4,M,MMM
14.5,M,MM
